ID,RiskScore
0,31.71505430155017
1,53.590021783988256
2,31.297211462549498
3,36.30132331082633
4,31.908409616805738
5,69.37020603587833
6,30.248852210676603
7,29.342053125907853
8,34.1707922502957
9,58.100960509265626
10,33.09206428423563
11,31.03767792925831
12,63.833776337133315
13,32.99401413782487
14,33.737473845412865
15,60.60672278556312
16,18.783411671714802
17,33.13124889422408
18,65.2475394331068
19,51.94387728936489
20,73.33752527043188
21,30.01643026369007
22,69.12742771878303
23,42.806374069780944
24,48.34913034605122
25,28.743832821124315
26,32.397901441982796
27,26.87632881201524
28,57.75867723707492
29,57.77390522261966
30,29.02429464288206
31,66.23371182081787
32,32.517189468589734
33,29.7647847538104
34,37.87554767620868
35,36.74290430084972
36,70.78985310367649
37,55.35283862806534
38,49.76575039215538
39,75.20986969856651
40,69.39135620609139
41,43.55878129446472
42,86.25431167196754
43,22.327872085174146
44,53.44801594401805
45,29.71015833443552
46,35.65746551486872
47,69.86130674166733
48,29.288856391008366
49,39.01850707290636
50,62.89673177013948
51,57.79145441801741
52,41.291488988533445
53,27.924727188969705
54,34.424646124756244
55,38.81206524760127
56,70.63764770786725
57,34.863371105075004
58,43.631203380790204
59,58.361500022289896
60,69.04843671699666
61,46.73311636660429
62,30.590919184668834
63,87.83796064560073
64,27.661868651263905
65,36.86554377077409
66,60.34095281082225
67,66.91609577901994
68,36.687163567304566
69,70.35061447011827
70,33.33850856193233
71,39.10404367905369
72,50.728391569069714
73,49.60150369229734
74,49.97075974579291
75,66.39849197022794
76,68.51340077926838
77,24.582226871934434
78,54.995522102309415
79,60.83230526923764
80,73.28607603685438
81,54.13991078826757
82,61.22731010721494
83,32.87710489380338
84,72.3243455047188
85,76.24937325024709
86,59.51214197659747
87,26.503334265072887
88,34.24654744831154
89,67.00752927500298
90,34.824973496909976
91,43.101170181067566
92,37.87482248304628
93,30.695213725973417
94,45.58434984890327
95,38.34130608083514
96,34.85233968976168
97,69.05603573789477
98,42.25283677114458
99,63.4055845270356
100,30.97155039533503
101,31.739686678294987
102,69.31084413147879
103,80.18636836988219
104,30.454965834739777
105,79.7536109495079
106,76.40281001169883
107,70.1945677287794
108,37.85713268219759
109,69.58105407534508
110,48.94255431857771
111,69.26079728638382
112,80.81576353216514
113,65.56992220543736
114,68.59127067931968
115,31.64554781303771
116,70.77576699772469
117,56.10690337984228
118,41.21607282696448
119,42.25370329483146
120,24.13458654322976
121,72.13287673418588
122,31.540122499336427
123,52.59058801308763
124,35.08309772976686
125,61.983430129557654
126,23.619545786707732
127,30.427997262932095
128,33.25764604143505
129,67.17683833509375
130,30.313623114031067
131,70.4049515817646
132,73.29272886902062
133,79.4538106003655
134,26.125610912808938
135,35.35053160013871
136,23.01992344591669
137,40.03492886798358
138,32.88892749884892
139,49.64894730200105
140,38.90547869599671
141,39.440017426794114
142,30.082460829860786
143,25.527234450382952
144,64.15575521976285
145,30.706726390708173
146,46.74137967510409
147,63.246618124710906
148,66.10801331890038
149,64.75305476857368
150,43.20886986659782
151,34.256908140875815
152,78.85292902344578
153,47.930098997354506
154,66.89372301914848
155,33.47082363009582
156,69.97090130017261
157,64.79306052208557
158,65.17712340672438
159,71.77307531890874
160,35.088884663480826
161,37.90349936664936
162,68.77511783782778
163,39.265987720976256
164,45.077917043731766
165,50.413329526058504
166,36.98644527990282
167,33.437470945648656
168,39.90326214416589
169,31.570943752626917
170,37.77406359866508
171,50.68539363002401
172,67.076417178549
173,44.80823462525396
174,31.307595138611596
175,58.65356964346163
176,48.077879901574484
177,37.79175624912942
178,41.007131432795134
179,71.51830154665628
180,48.28947329239377
181,30.045202871919354
182,62.35430217617912
183,68.55700473342219
184,73.67212046765616
185,65.25738664001756
186,74.46888849568822
187,56.99792849281551
188,34.60741627393462
189,26.741206829672876
190,32.244312127284005
191,70.84901676229417
192,54.56958570711522
193,30.55061062841869
194,69.31884135417869
195,25.82067950205692
196,32.43001697571258
197,63.72272839797691
198,63.66676961742736
199,35.44228184179388
200,29.779241253811374
201,53.67889532982262
202,33.380742439209364
203,33.64486139873269
204,70.61222378179463
205,57.63406414524029
206,64.93215998255133
207,38.43604448840541
208,52.32721196309034
209,56.703839179735404
210,32.40479269122014
211,29.71727761296698
212,74.25861892812227
213,62.58960230297857
214,38.41278195301334
215,59.16493196901178
216,63.0106111341487
217,64.65560549017044
218,49.84032278571623
219,30.596778776647778
220,31.826904705825264
221,32.850086175437944
222,27.55464031704827
223,54.48504170708904
224,27.54609365536619
225,65.87653620015138
226,60.6935788077641
227,33.27824095622249
228,39.45696350821474
229,39.079221235521615
230,49.026968361771175
231,50.494269178773415
232,37.93675000831186
233,46.11808685757274
234,78.43843610511902
235,63.68599517953187
236,30.19639652041229
237,49.77842312493425
238,66.996119065465
239,31.62029809666194
240,70.23073802752921
241,65.76260942436285
242,39.91921974521599
243,67.86171537364837
244,67.69177483795349
245,68.65099985482638
246,24.5294497707308
247,42.34508985206692
248,75.93847766416637
249,26.47548628125602
250,69.72235504436743
251,32.903297418715695
252,35.315928853535496
253,62.598546372347236
254,48.28994638429701
255,32.809299889073294
256,52.2600090725298
257,72.64527632477483
258,66.83772531516067
259,33.3932766469766
260,50.151294290590684
261,44.4210204563929
262,27.852440172946118
263,75.70004040350574
264,65.40937025702084
265,26.7716910343967
266,45.894944193995165
267,27.059962243227265
268,65.81543787126995
269,73.02361909345171
270,53.45528789005026
271,76.57169278192933
272,28.966401948983446
273,42.10884730158106
274,28.96549590743747
275,45.47141073892158
276,62.68051668598559
277,32.76683564040379
278,58.759344886396406
279,29.367442508555367
280,62.66003313677491
281,61.89467294983069
282,58.91931569947404
283,52.73317941738527
284,33.87693231637846
285,32.815055572805335
286,31.224988695464166
287,70.0519035791812
288,48.53040184222519
289,35.9717594529225
290,50.50905037182991
291,40.5823943875767
292,54.58487616816344
293,71.08029385226224
294,34.14980784063998
295,69.18303277370393
296,74.4534768850913
297,30.224519247477645
298,36.49527759008461
299,72.97313569206942
300,45.65040722002986
301,77.1657839810685
302,52.14458764493632
303,35.509625205120294
304,59.166512599711744
305,31.572562461422088
306,33.087536117173435
307,69.03743088402608
308,45.53652097575204
309,29.401600013343742
310,69.7746429936251
311,56.35379911345696
312,44.58645191991467
313,47.337252333560954
314,67.56589225251594
315,74.11393870557717
316,33.98929551610993
317,34.32345721113532
318,55.711150422465636
319,32.3772267209295
320,28.904447588078263
321,39.17770032919573
322,73.88718053614343
323,66.87910110851516
324,91.84854685034688
325,38.32199185221278
326,66.94448357479207
